id_marca,nombre,ano_creacion,categoria,ciudad_base,disponibilidad,precios_promedio,seguidores_ig,seguidores_tt,engagement_redes
82,SEEDI BRAND,2022,Streatwear,Ciudad de México,Online,240.00,1732,266,0.00
83,LyShi,2021,"Apparel store, Streatwear",Ciudad de México,Online,800.00,19800,80200,0.00
84,PAY'S,2017,Slow Fashion,Ciudad de México,Ambos,1381.00,77300,517,0.00
85,Val De Grace,2016,"Casueal, Jackets",Ciudad de México,Ambos,3600.00,355000,106200,0.00
86,Maison Manila,2015,"Slow Fashion, Casual",Ciudad de México,Ambos,2660.00,8346,0,0.00
87,HSSWCo,2018,Streatwear,"Nezahualcoyotl, Estado de México",Online,900.00,14000,425,0.00
88,NIN STUDIO,2018,Slow Fashion,Ciudad de México,Ambos,5505.00,14200,261,0.00
89,DOA,2022,"Streatwear, Minimalista","Guadalajara, Jalisco",Online,500.00,3258,60,0.00
90,Coloso de Oro,2022,Jewerly,"Ciudad de México, Centro",Ambos,0.00,8841,1627,0.00
91,TORONERO,2018,"Contemporary Mexican Folk, Slow Fashion",Ciudad de México,Online,2542.00,19600,498,0.00
92,MITSA,2021,Slow Fashion,Ciudad de México,Online,4352.00,16000,293,0.00
93,FIFTY FAVE,2022,Streatwear,"Guadalajara, Jalisco",Ambos,1000.00,15500,7546,0.00
94,Tiempos,2021,Slow Fashion,"Culiacan, Sinaloa",Ambos,6495.00,25900,89,0.00
95,LIBERAL YOUTH MINISTRY,2016,Slow Fashion,"Guadalajara, Jalisco",Ambos,2397.00,44700,11,0.00
96,DIE FAST,2021,Slow Fashion,Ciudad de México,Online,2500.00,5702,26900,0.00
97,ABL ESTUDIO,2020,Slow Fashion,"Monterrey, Nuevo León",Ambos,5249.00,30700,52000,0.00
98,aim,2021,Jewerly,Ciudad de México,Online,1900.00,12500,387,0.00
99,MARBLE STONES,2021,Streatwear,Ciudad de México,Ambos,1270.00,6906,64,0.00
100,DISTANTE,2023,Streatwear,Ciudad de México,Ambos,800.00,1879,2527,0.00
101,cuāchic,2021,Slow Fashion,"Nezahualcoyotl, Estado de México",Ambos,800.00,889,25,0.00
102,Gazzle Store,2022,"Slow Fashion, Custom",Ciudad de México,Ambos,1800.00,20700,250,0.00
103,GOVA,2021,Slow Fashion,Ciudad de México,Ambos,1900.00,954,6308,0.00
104,Bopshit,2023,"Bootleg Merch, Merch","León, Guanajuato",Ambos,400.00,6458,19,0.00
105,COBRA STUDIO Supply Co,2022,"Streatwear, Bootleg Merch, Merch",Ciudad de México,Ambos,640.00,19900,0,0.00
